name,Employer,location,link
family law legal assistant,The Hiring Partner Inc,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=4a4e6072614cf5be&fccid=32e25dd05419efe3&vjs=3
Billing Administration Clerk (Legal),Miller Thomson LLP,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=4aec80719fc4d45f&fccid=9d669399a0b61e9d&vjs=3
Immigration Legal Assistant,"Chalk, Son & Associates Limited","Toronto, ON","https://ca.indeed.com/company/Chalk,-Son-&-Associates-Limited/jobs/Immigration-Legal-Assistant-6ae38ab43c301c9d?fccid=1ccff59ab5bd7255&vjs=3"
Trademark Legal Assistant/ Law Clerk (Downtown) - #15546,Kent Legal,"Toronto, ON",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C7s55E2tmVoU-e5n5VHJSHWmLKbqBNslxA1tJHdtDJvfVx5KZ4rpIIcwD0svYNu440wsNh_4jD4ccybGYa50xijBzHzBjf64hcTskiBxdvJC4Hbh4q5VkhqK2B-wRtbWw_AS0q4Izj3hMJnPwiVA5wpzAGAtLlwbscwgId-W-2ET7P29uakfuXQLTiOPU2ybHEH8xVG_a_OlWme12SK_DKjePpqQ1r3mwIiXD59BBT9Or6Xv-j8PnfMH0C2a51TV337Xdqpc4r7RovoGVWJo4mjiYSrXzFZU0BnClm9mjDkrr68cVkVV2w1CYATvV2f7VfqQOUDupXheveqL2e0XC1yidelKhbP5g_6Yc6hm0zGVvIaiUY1_bl9VUXcAeDSxG9UA9ITLrPwf7uDKWuj-Yv_zDEk-0vmJDzz9NjLj_ScKAOj7FE0srfs6uhrf18zItqdE4RVRI8YIeHd4vygwb1Dg7csdSgxQla1iuZFnSJgv_aLAzpNlw0g6Vkh141UAihuc8JcUs3yiHGtMEsaBsB&p=13&fvj=1&vjs=3
Litigation Legal Assistant/Clerk (Mississauga) - #15421,Kent Legal,"Mississauga, ON",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C7s55E2tmVoU-e5n5VHJSHWmLKbqBNslxA1tJHdtDJvfVx5KZ4rpIIcwD0svYNu44aSwDjOR8NoAkW-beNmmf77rIndnOUKRAjSBY1VUwrEZ8BQBY2YGEBU8FSSL9XhIluYrS4e3qe0f7v99UCZj68i08Iy52YKLXjbMuxE1aRHYBJnFgSLoJS20nlr_vGxLRC0khkd1_cgqgZO6tYaiQV3swwIsapVwqz82dbt6orrqubCxc9CmUvHsvy_8ANDtZDCkKzP8g3LdjjfzA-J3M9OtYQn429VDoIizOY5BY3FcQkRCw5fc8ONMLUYLk9lhw3x0XbGYmTje6ZI0E2HNKHIYNzyZgoNAKSb1HoVLXHelMBXxxqPrfs8Hx5mABWYgdPifxxHMKajdibFcQESXAAyROMX3D0gzySepEpoFyf04lTTvnv0qQwMgabqrl4Kh0SZ0FL6U4lPqNZIDLYZuck7Foa1oZbS6DVmfPqcy_jDIwjfoY1xz2PX5pr8GjUbzCcsJPLg8u2roUk1QbsqIB9&p=14&fvj=1&vjs=3
Paralegal/Legal Assistant,ZSA Legal Recruitment,"Toronto, ON",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BLMeDpCNWBWPafb21nNcqqZ7D8kU6mmU5LMvxbtl4HkXGzh6cZmWcz14EgrNrjqsrcL9Hg00AZ4hi8wZVqw3aywR6fq0oT3Am3lZk9ioxNMiHupbVHm8lCKXaG1K5lMZRq0MTAcnUlv673aucs7NDYy3Xi4mnfboP08AbSHMU5i8NhFcmc-8Ti0_iHuJgCKs9pMg4yut33D9_SuqErmi-4Cr724vTrlFaAcZPpBSAc--6LlfyNRG1vVkhXviOgva9C_jR7ftJ681XPHii6mBMj7aU4GV4R0VWq9720tdOf1Y2GzJ0ZMKPdR0EjhV0EPZQvG1oy96QfFcL_99V4MYPzYpb9emb7yvjrsMTtbQH-fdwpKL6qHH0RnQ2wzLvVqSXv6_K-mxw4-LRz0aPt3dYdHGefGnrBZIMX6RbN-aNMD-kVuqapKRchxBAPm9cuVW-hL_C-zBco6sYe-96VUkSWZgLty9vNa5_ilsyD4ulyqU7H5GmPIJNh&p=0&fvj=1&vjs=3
"File Clerk, Immigration Law - 12 month contract",KPMG,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=2d7fa04513c06248&fccid=2dd390c3a48a7ed0&vjs=3
Condo Legal Assistant / Clerk (North End) - #15517,Kent Legal,"North York, ON",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C7s55E2tmVoU-e5n5VHJSHWmLKbqBNslxA1tJHdtDJvfVx5KZ4rpIIcwD0svYNu46ktMDckHuhuDE6_W6E2EjNsP4pdXVYTEBnToqYBP4S2wYrSPjNi38-EUw9EjjR8KrTfapGXkDUVwHHlX_5jc8Bp0NXeOBpKPjZyBUvPsy-Cx9nc45yjp7M7N_7pz9PHbFkXomA4_VxqZXZW4nUpcIto4_T9zP9psNpLVbTOGoOHPHjotp9BhthNctWCmEg5g1hiLUKVhWAoPsS9hRR4dgl7UdJkukC9nN_vs9GalM_ddidzU3zU6-VUfHqEE5Pw3_dtU5Y3xhjDKSeVWh2JZdF3C9YdS3C4iRHQ5iSjf4OlVtYZ7smi-lJvg5vOntzks38OoNbYjiycOqHUTNvfwG3nUjGptKtN-2hsamoE-8rq6notpGu9bmWUCN61gmCo5Jr-nNCFy0jCt9MHUe08nv4NMl_GzYditt-wtJlaNOupWivNJaBblcrJaR8gUjafP7mDJ1lViyPvCsbXak2GcCS&p=2&fvj=1&vjs=3
Legal Assistant,Glowinsky Law,"North York, ON",https://ca.indeed.com/company/Glowinsky-Law/jobs/Legal-Assistant-6c2385387b51d6eb?fccid=6f1a02a7dfd9fcb9&vjs=3
Legal Assistant,Andrew Suboch Professional Corporation,"Toronto, ON",https://ca.indeed.com/company/Andrew-Suboch-Professional-Corporation/jobs/Legal-Assistant-facd5e57d260d7d7?fccid=eef80f6f374b73de&vjs=3
Legal Assistant,Marvin Moses Law Office,"Toronto, ON",https://ca.indeed.com/company/Marvin-Moses-Law-Office/jobs/Legal-Assistant-aa5d1645c64d3ee8?fccid=a4b8dda5e43ac9b1&vjs=3
Trademark Legal Assistant/ Law Clerk (Downtown) - #15546,Kent Legal,"Toronto, ON",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C7s55E2tmVoU-e5n5VHJSHWmLKbqBNslxA1tJHdtDJvfVx5KZ4rpIIcwD0svYNu440wsNh_4jD4ccybGYa50xijBzHzBjf64hcTskiBxdvJC4Hbh4q5VkhqK2B-wRtbWw_AS0q4Izj3hMJnPwiVA5wpzAGAtLlwbscwgId-W-2ET7P29uakfuXGnQ2UbybQcUq5YJ71TU7Vq0a0sFfW9lDfjSsM9lcgFhTW56aQmEerQ_23sI6pc50oF5RkLjpLota5bnk0SDgJIYsJJAB6Iw0e4gszTFoXPPISbGx4xT39dpa6cMpwLFwnRqI-faWocdx_ynNUDFSwWwULP1QzENM17HEtSEPg7yVT5oxbM8IpWr-WDF5q6kjlOUPBK_EKIqgXHff70HSwKJW-ZGggNjNeXQcRa2OfZX8Ovn4ltz1hb7Z9btJYuGEKj1xaomxgC-zm180PYUiPMXcPnze9siLubBpFy2bnQDV-Mj59fqMI-MZq5I7NM7OueyNnf7i_mgtswhfKfSn95ufN0lFVB1Q&p=6&fvj=1&vjs=3
Legal Executive Assistant,OntarioMD,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=b0bb5f9c71286546&fccid=766dffaae2546ca8&vjs=3
Litigation Legal Assistant/Clerk (Mississauga) - #15421,Kent Legal,"Mississauga, ON",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C7s55E2tmVoU-e5n5VHJSHWmLKbqBNslxA1tJHdtDJvfVx5KZ4rpIIcwD0svYNu44aSwDjOR8NoAkW-beNmmf77rIndnOUKRAjSBY1VUwrEZ8BQBY2YGEBU8FSSL9XhIluYrS4e3qe0f7v99UCZj68i08Iy52YKLXjbMuxE1aRHYBJnFgSLoJSHPyOQfpiwIvAldagYYv4KI9BHKsP4wUe9KXppb6pV7kAQiKvl4-fCd42RFmM1cyo8jh2BF3pwVLiqtJZO7aWb9IWIasezkiC28XURvZx3ZUyKXQ41Jik_ree2YTm5dOBw0ApIc2L7oh0zn0WNowl1goCxCKu1JMVAnbdRIrajLnCo7qSBW0BnjNckkh-w48XQd46etYQGDe5YmJWoxETwsJjyaJK9w1gbI_ALj8f_Jt2UgXzxYrOOD9Cssjw1t4wL6fbNS6IbN5DIXxZOsBUSB9QG9GcrC55EPb4Io2NJweLaiK7Rfj4Sq-8e5rXzsUPYzZFAY7s7ylS2ymgwDaIUUeEPWuJcVDh&p=8&fvj=1&vjs=3
Paralegal or Law Clerk,My Visa Source,"Toronto, ON",https://ca.indeed.com/company/My-Visa-Source/jobs/Paralegal-or-Law-Clerk-cf4216aa97668188?fccid=b0e51ae3583661b0&vjs=3
Legal / Scheduling Assistant,"Linden & Associates, Professional Corporation","Toronto, ON",https://ca.indeed.com/company/Linden-&-Associates-Professional-Corporation/jobs/Legal-6ec28ba682dbdec5?fccid=61a5d5663389283a&vjs=3
Junior Legal Assistant,Linds & Associates,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=7b0a035abc3486f0&fccid=7eab793df782c266&vjs=3
Capital Markets Legal Assistant,Mier Recruitment,"Toronto, ON",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dgb76zrUgBBoUac4OqrBxcp3AF41zq8tIbFMi67wY-ws-iFi9SVjOWApxDz16RYLN3JLz8ceoPqvLFVYodXjU_AhR0vBf7S9vjJ4JShIuo8Im_IJaRnIC4nurEnzWvkNpTgDuTLGKwrvb4NQD_nvoqlJMUIz8b2r0FbtRcvPDmYAKjqJSqssN1fIWqM1voamdpTvHFyvS_3QkxDnTrwiFl-si5agU-zWG_HG6blwjQU_33avCQ2Hh6HEovF-4v18tcU5mmt5ykm5BH5qIEKmxMjKmCjc5xb8GaILJdf-Tnci8rj2SPzPMl217jIsluBQi6BQg62bVa46eSWKzPYF9XTA1E1ktK7rFAWeoNdW88QGatXWv4jupinAoJohfFoYpxcOP2vT5VQN-5xdkIobfIsW-nw3aUmVsKg3touH4qjnoWs26mC7uyGTDHAcmasoPcvpyGA9tf58rY5_qZRspM9YkTgwixtVjFNbvd47Tf_5sW3TSrnIbxvjANgd--HDIKsSUEvglmTVbLCok-AGC4viaV21od8sN7jHTuoIOZq_18x1OAgPeRgO9xn3zROq3NuNZ9kkl5Y8mBK50WVSMaXyAzwd8EgNT48UFyDAP6N30P8uupP3K1xiDS-kpVj7pVb7WwFh4PBoOm6Sd0i88JHrMpEFRoPlirrfExnpyu8_S840ePPAe0vrvZ-ZAE5VzFiYOYiaBHTSvuqtoAK3YyaeTU3w8RgOFI61d6-SCNb76mZaMMWE-zxiU5uVst_oKASsegklylinhKDSl3bd13j4W_7pn2Q2FVDw1xpqB9ttdvAF1-clvKYt2QRvtHpC_0yhp9eH9-J0TXenKz8LoMpJiduc3QbklRkZ6r85M-hRDhvuhJ_MDFH-tceYnCnEoklxmIqxh-hrb-2xB2KMQq7wdF_4eLFbl8mqZz7twjw_VzNczTf2DROxnr8qOooV3DIg9y9ZeRDenfFaPmvauB5cvtsMyPHN4=&p=12&fvj=0&vjs=3
Legal Assistant,Personnel Management Consultants,"Toronto, ON",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D-ng8q_rUY8Dfevs-01kvDAZm8zL8TRLiVUfKoCwpnUKQukbVHyNgya4Pw2OiJRFKpulx4T4Tq6Qf8jqAD0VbWAB4C-lZK9uo7OSyeo_ep1gxe397xkkPIurEMaKqwgw4-8QR8HQRNqs9vGhJcWEPLX1ys6uSspNqQKQLjgY-HtvulGv_03n-lfMuBAmP0bD5d4TmqyW6FZJ3dT8VnYyIXrt2-AQ7O_1sH1_VrSp3Q7mEnf2aXQtIT3sAYsB0h8Z1plFGYB5RpQw_wvkNjJ4UGfbjMhk85ii4f8poQD63btJzr9XAXe8Oz1-r6RczRsK12ij9IWnISjujSdkLzc6NpfztWZNvLh1KBWa5-5SrjIa2f9yC_37G5uULdP0UCb1gLcwo4EPbitHjpZVyqrQhwuz2Kcu76rG9zoLSGTHMWLFxTunDO_cG77FxoYv23p9KFdFvEm3_EQh76z7GVflxfuDV6yYorIqhx-kZCaSq-qg==&p=13&fvj=1&vjs=3
Legal Assistant/Secretary,GOLDSTEIN & GRUBNER,"Scarborough, ON",https://ca.indeed.com/company/GOLDSTEIN-&-GRUBNER/jobs/Legal-Assistant-Secretary-297649d14aaa2cda?fccid=34f122b04d457c93&vjs=3
Experienced Family Law Clerk,Quinn Family Law,"Toronto, ON",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BzBFnGKBI9nvGmOem2W1nEPQdpweWb28CLjnGWSJcntbW-W3wL4hMnHBGv6dV7xjGeWWhv6xMDb_kocWLPIPvHSccOob8ie8nUKzjelC1KJWz7W7uyFkeN4QauxRea7K_UyUhuhU1_hWKfo5C7tX4NtpziqUtsJd_vpHEskbXk3qWD7Emp3dLM7To4oWocBMVQacKkRQg0zd95eHtB0CKTPlZK_DvndlHWvuy0Ni3JtGNa9uDQtyXwsZUrtZsYhxedc4iUMCd4NN8OhGIKOp9U9TJDsWin51zDAH1e34YbQqU-q5YSubxIKm2RzIVwUJLgkRTZxSWYxGowemT4QYqDXdq_XEQGEyYsD85-8KOWjKbSRM4W2mbtlypnYCgAgun3VJTJWIrmb-R2DITlQEKqac6EhT85pwphqwHztQJ5UZcSB1qgOXVWwDlOr3mz9btOSQB2n0kBrG7V99AF8n6nvGu1u2gB4lRTKwNbDsFNHwe7TaZ8WGTo&p=0&fvj=1&vjs=3
Law Clerk/Paralegal/Legal Assistant,Zeppieri & Associates,"North York, ON",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BOH7sRUTJ_wkf9pW3E6-dZC5-eGbdiOh2bijOjPkI9OVGSn6nxQqGLHN29AtLao6Ik-CouKK8knPm1ZQa62aBvfJg5X2fvUgfT9DR6qcJUXl-S99GbyDisH2f-0GIrcP9Uvn9aZ3lbEnzNCvH21ju6zkWD14oVkwejxoccDgl5TpzK33uqBDHSLuXnThB8JVCXvDBNH6jBmFLcLco-CmmXco2BkGbzl_Pn_ylJAe6ZSo3HIFETsudpIHQP1YWpkwf_dmoC_Bmmr9HWxv_GifqqdTvaUwfx2y2JTu_7CcYT3CcQ22B-B6TZTB747jY1nJ7jEpA9C2wpZJBIlnd3PZUzwRfsgb4tMmAGWjzWupRmLmgEIQwZ7WF6C0LN_V0Akpjjww5OsaM1CUl67EEf1vMKSstjvOyoi8PDSenfhkJ39seUwN32dgp5LaN-u7ccrZRvSd1CBtOTnERUjOw2kGwyn7j0LPvG68mpPbIjC9w0-PWARDOM328v0WaBmht3pYU=&p=1&fvj=1&vjs=3
Legal Administrative Assistant - Law Clerk,Shields O'Donnell MacKillop LLP,"Toronto, ON",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C-9gcilVlqi5bkvqtnaxylGQmL9lhLw7FoLB5_wZmrFsXS6db8brVBkjAZCg1-NoUjswcXCoO7KDrvWlXVyD_xL9_fQ9BHA-fW9qnyU0JnfKpmE-F6ABTDH15kiP_mcxZ-2zyKamFdQ_e1ltoFzjKjNcsWYhQu4mTVCOGBahRPovIvG0CO8JEoU8wRePR_V_LToOXtyjGCSZQoWzzcjxvzwnLOGK18KvcmARwIDW6mpuJ88HVHwQd3M_ivLST-iGNjLogVapTn3SIbHDCYfGk8VaQrvloLa31p04fT_2rovQS6lMRd4Ly7poakrbF9mTCO7sjA1C-dNYYtUBu1JFuJj5pMyr_vOfZw3_Oi9C-sfKzpZdKsu-V9idDdVdWkTbIGX8VJ2Osi9F_pCI72mfR-PZc56K1460XalUTne8zn4U3byh2DDX_NNScXHL177RDy0C71Bg-Ry3cooFmStB1OmTOp9Bh2uBvFcui_TC3wht-q677OP0FluR3vsxlGBZ9OvpvveK3cBA==&p=2&fvj=1&vjs=3
